user_id,name,interest_1,interest_2,interest_3
100,Meera100,Coding,Travel,Fitness
101,Rahul101,Art,Gaming,Cybersecurity
102,Neha102,Art,Gaming,Photography
103,Kavya103,Health,Coding,Gaming
104,Kiran104,Design,Design,Fitness
105,Pooja105,AI,Gaming,AI
106,Sneha106,Startups,Travel,Travel
107,Neha107,Travel,Photography,AI
108,Arjun108,AI,Design,Art
109,Ananya109,Design,Fitness,Fitness
110,Sanjay110,Gaming,Startups,Startups
111,Neha111,Travel,AI,Health
112,Arjun112,Coding,Gaming,Design
113,Rahul113,Photography,AI,Gaming
114,Sneha114,Art,Gaming,Coding
115,Akhil115,Gaming,Fitness,Design
116,Kavya116,Coding,Design,Fitness
117,Neha117,Cybersecurity,Fitness,Coding
118,Rahul118,Cybersecurity,Cybersecurity,Finance
119,Pooja119,Travel,Coding,Coding
120,Ananya120,Startups,Finance,Travel
121,Arjun121,Finance,AI,Travel
122,Pooja122,Startups,Gaming,Health
123,Kavya123,Startups,Travel,Finance
124,Sanjay124,Finance,Gaming,Finance
125,Sneha125,Design,Travel,Gaming
126,Pooja126,Finance,Finance,Travel
127,Divya127,Finance,Travel,Finance
128,Nikhil128,Fitness,Coding,AI
129,Nikhil129,AI,Coding,Finance
130,Sanjay130,Design,Design,Design
131,Priya131,Coding,Health,Travel
132,Akhil132,Design,Cybersecurity,AI
133,Priya133,Fitness,Health,Gaming
134,Rahul134,AI,Art,Travel
135,Sanjay135,Cybersecurity,Photography,Photography
136,Neha136,Travel,Art,Cybersecurity
137,Neha137,Travel,Finance,Art
138,Meera138,Gaming,Design,Coding
139,Sanjay139,Startups,Coding,Health
140,Priya140,Startups,Gaming,Gaming
141,Pooja141,Gaming,Design,AI
142,Meera142,Art,Design,Startups
143,Sneha143,Gaming,Finance,Cybersecurity
144,Arjun144,Health,Photography,Coding
145,Arjun145,Health,Travel,Startups
146,Akhil146,Travel,Fitness,Photography
147,Sneha147,Art,AI,Design
148,Akhil148,Finance,Photography,Travel
149,Nikhil149,AI,Art,Coding
150,Priya150,Fitness,Finance,Design
151,Rohit151,Cybersecurity,Design,Health
152,Neha152,Finance,Health,Health
153,Neha153,Gaming,Health,Startups
154,Rohit154,Design,Gaming,Art
155,Ananya155,Fitness,Photography,Cybersecurity
156,Sanjay156,Fitness,Design,Health
157,Divya157,Photography,Fitness,Finance
158,Akhil158,Design,Finance,Travel
159,Arjun159,Coding,Travel,Finance
160,Akhil160,Design,Fitness,Design
161,Akhil161,Health,Cybersecurity,Coding
162,Arjun162,Cybersecurity,Gaming,Design
163,Vikram163,Photography,Travel,Fitness
164,Akhil164,Coding,Travel,Startups
165,Kavya165,AI,Gaming,Cybersecurity
166,Priya166,Health,Design,Travel
167,Akhil167,AI,Design,Coding
168,Ananya168,Coding,Cybersecurity,Art
169,Sneha169,Health,AI,Coding
170,Sanjay170,Finance,Coding,Photography
171,Akhil171,Photography,Photography,Startups
172,Meera172,Photography,Travel,Finance
173,Pooja173,Fitness,Finance,Gaming
174,Sanjay174,Cybersecurity,Travel,Travel
175,Neha175,Fitness,Health,Startups
176,Pooja176,AI,Art,Coding
177,Priya177,AI,AI,Fitness
178,Rohit178,Photography,Gaming,Fitness
179,Rahul179,AI,Startups,Cybersecurity
180,Meera180,Coding,Coding,Photography
181,Rahul181,Design,Fitness,Coding
182,Nikhil182,Gaming,Fitness,Travel
183,Kavya183,Gaming,Health,Art
184,Kiran184,Travel,Cybersecurity,Cybersecurity
185,Akhil185,Art,Gaming,Startups
186,Meera186,AI,Startups,AI
187,Kiran187,Art,Finance,Finance
188,Meera188,Design,Finance,Photography
189,Kiran189,Art,Cybersecurity,AI
190,Divya190,AI,Design,Photography
191,Neha191,Cybersecurity,Coding,Startups
192,Sneha192,Health,Startups,Coding
193,Pooja193,Travel,Design,Travel
194,Sanjay194,Art,Design,Photography
195,Nikhil195,Photography,Coding,Fitness
196,Rohit196,Fitness,Photography,Finance
197,Ananya197,AI,Cybersecurity,Startups
198,Rahul198,Startups,AI,Travel
199,Nikhil199,Fitness,AI,Coding
200,Rahul200,Fitness,Photography,Design
